offer_id,seq,url
ogl66260651,19,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66260651/19_11300447_19_54012.jpg
ogl66259592,0,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259592/1_11297441_1_33177.jpg
ogl66259592,1,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259592/2_11297441_2_96106.jpg
ogl66259592,2,https://s-trojmiasto.pl/ogloszenia/foto/66240000/66236482/1_11204069_1_39622.jpg
ogl66259592,3,https://s-trojmiasto.pl/ogloszenia/foto/66240000/66236482/2_11204069_2_45023.jpg
ogl66259592,4,https://s-trojmiasto.pl/ogloszenia/foto/66240000/66236482/3_11204069_3_73036.jpg
ogl66259592,5,https://s-trojmiasto.pl/ogloszenia/foto/66240000/66236482/4_11204069_4_67028.jpg
ogl66259592,6,https://s-trojmiasto.pl/ogloszenia/foto/66240000/66236482/5_11204069_5_72872.jpg
ogl66259592,7,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259592/8_11297441_8_60087.jpg
ogl66259592,8,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259592/9_11297441_9_70170.jpg
ogl66259592,9,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259592/10_11297441_10_65274.jpg
ogl66259214,0,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259214/1_11271680_1_90371.jpg
ogl66259214,1,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259214/2_11271680_2_48657.jpg
ogl66259214,2,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259214/3_11271680_3_61145.jpg
ogl66259214,3,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259214/4_11271680_4_71437.jpg
ogl66259214,4,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259214/5_11271680_5_34456.jpg
ogl66259214,5,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259214/6_11271680_6_40510.jpg
ogl66259214,6,https://s-trojmiasto.pl/ogloszenia/foto/66260000/66259214/7_11271680_7_90917.jpg
