wejscie,miasto
wlynkowko,Włynkówko
zabierzow,Zabierzów
zaborowek,Zaborówek
zabor,Zabór
zablocie,Zabłocie
zabludow,Zabłudów
zagorze,Zagórze
zajaczek,Zajączek
zambrow,Zambrów
zamosc,Zamość
zaniemysl,Zaniemyśl
zaransko,Zarańsko
zastan,Zastań
zawidow,Zawidów
zawiszow,Zawiszów
zascianki,Zaścianki
zbroslawice,Zbrosławice
zbylitowska gora,Zbylitowska Góra
zbaszynek,Zbąszynek
zbaszyn,Zbąszyń
zdunska wola,Zduńska Wola
zegrze poludniowe,Zegrze Południowe
zgorzala,Zgorzała
zielen,Zieleń
zielona gora,Zielona Góra
zielecice,Zielęcice
ziemomysl a,Ziemomyśl A
ziebice,Ziębice
zmyslowo,Zmysłowo
zwolen,Zwoleń
zabki,Ząbki
zabkowice slaskie,Ząbkowice Śląskie
zebice,Zębice
zebowice,Zębowice
zlawies wielka,Zławieś Wielka
zlocieniec,Złocieniec
zlotniki,Złotniki
zlotoryja,Złotoryja
zloty stok,Złoty Stok
zlotow,Złotów
cwiklice,Ćwiklice
labiszyn,Łabiszyn
ladna,Ładna
lagiewniki,Łagiewniki
lagiszyn,Łagiszyn
lagoszow maly,Łagoszów Mały
lagoszow wielki,Łagoszów Wielki
lagow,Łagów
lambinowice,Łambinowice
lapy,Łapy
lasin,Łasin
lask,Łask
lawica,Ławica
lawice,Ławice
laz,Łaz
laziska,Łaziska
laziska gorne,Łaziska Górne
lazy,Łazy
lazy wielkie,Łazy Wielkie
lancut,Łańcut
lazany,Łażany
leba,Łeba
lekno,Łekno
lobez,Łobez
lobzenica,Łobżenica
lochowo,Łochowo
lochow,Łochów
lodygowice,Łodygowice
lomianki,Łomianki
lomianki dolne,Łomianki Dolne
lomna-las,Łomna-Las
lomnica,Łomnica
lomza,Łomża
losice,Łosice
losino,Łosino
lososina dolna,Łososina Dolna
lowicz,Łowicz
loziska,Łoziska
lubiana,Łubiana
lubowo,Łubowo
lukaszowice,Łukaszowice
lukowice,Łukowice
lukta,Łukta
lukow,Łuków
lukecin,Łukęcin
lupowo,Łupowo
lysa gora,Łysa Góra
lodz,Łódź
lodz-baluty,Łódź-Bałuty
lodz-gorna,Łódź-Górna
lodz-polesie,Łódź-Polesie
lodz-widzew,Łódź-Widzew
lodz-srodmiescie,Łódź-Śródmieście
lack,Łąck
lacznik,Łącznik
laka,Łąka
lasko wielkie,Łąsko Wielkie
leczna,Łęczna
leczyca,Łęczyca
leczyce,Łęczyce
legajny,Łęgajny
legi,Łęgi
legowo,Łęgowo
leka opatowska,Łęka Opatowska
leknica,Łęknica
lekno,Łękno
letowice,Łętowice
scinawa,Ścinawa
scinawka dolna,Ścinawka Dolna
scinawka srednia,Ścinawka Średnia
sledziejowice,Śledziejowice
slesin,Ślesin
sliwniki,Śliwniki
sliwno,Śliwno
smigiel,Śmigiel
srem,Śrem
sroda wielkopolska,Środa Wielkopolska
sroda slaska,Środa Śląska
srodka,Śródka
srodmiescie,Śródmieście
swidnica,Świdnica
swidnik,Świdnik
swidwin,Świdwin
swiebodzice,Świebodzice
swiebodzin,Świebodzin
swiecie,Świecie
swiedziebnia,Świedziebnia
swieradow-zdroj,Świeradów-Zdrój
swierklaniec,Świerklaniec
swierklany,Świerklany
swierzawa,Świerzawa
swierzno,Świerzno
swierze gorne,Świerże Górne
swieszyno,Świeszyno
swilcza,Świlcza
swiniarsko,Świniarsko
swiniary wielkie,Świniary Wielkie
swinoujscie,Świnoujście
swiatniki,Świątniki
swieciechowa,Święciechowa
swieciechow,Święciechów
swieta katarzyna,Święta Katarzyna
swietochlowice,Świętochłowice
swietoszow,Świętoszów
zabia wola,Żabia Wola
zabno,Żabno
zabow,Żabów
zagan,Żagań
zalecino,Żalęcino
zarczyn,Żarczyn
zarnowska,Żarnowska
zarska wies,Żarska Wieś
zary,Żary
zarow,Żarów
zelazno,Żelazno
zelice,Żelice
zelichowo,Żelichowo
zelistrzewo,Żelistrzewo
zelislawki,Żelisławki
zerkowice,Żerkowice
zerkow,Żerków
zerniki,Żerniki
zerniki male,Żerniki Małe
zerniki wroclawskie,Żerniki Wrocławskie
zmigrod,Żmigród
zmudz,Żmudź
znin,Żnin
zoliborz,Żoliborz
zoruchowo,Żoruchowo
zory,Żory
zukowo,Żukowo
zurawiniec,Żurawiniec
zuromin,Żuromin
zychlin,Żychlin
zydowo,Żydowo
zyrardow,Żyrardów
zytkiejmy,Żytkiejmy
zytnia,Żytnia
zywiec,Żywiec
zorawina,Żórawina
zlobizna,Żłobizna
